domain,typology,outreach_priority,priority_score,domain_rating,ahrefs_rank,citation_count,retrieval_count,citation_rate,competitor_count,cited_competitors,peec_classification,recommended_action,notes
vogue.co.uk,editorial_premium,HIGH,8.44,87,3382,7,9,0.88,6,"Allies of Skin, Chanel, Dr Dennis Gross, Elemis, SkinCeuticals, medik8",EDITORIAL,Beauty/lifestyle outreach: pitch a hero product with a trend angle and press samples. Prioritise beauty journalists listed on the masthead.,6 competitors cited — strong editorial competition
today.com,editorial_premium,HIGH,7.47,90,1206,5,11,0.5,7,"CeraVe, Charlotte Tilbury, Drunk Elephant, La Roche-Posay, Paula's Choice, SkinCeuticals, The Ordinary",EDITORIAL,Beauty/lifestyle outreach: pitch a hero product with a trend angle and press samples. Prioritise beauty journalists listed on the masthead.,7 competitors cited — strong editorial competition
forbes.com,editorial_premium,HIGH,7.14,94,93,4,12,0.44,9,"Caudalie, CeraVe, Dr Dennis Gross, Estée Lauder, La Roche-Posay, Sephora, SkinCeuticals, Sunday Riley, The Ordinary",EDITORIAL,Beauty/lifestyle outreach: pitch a hero product with a trend angle and press samples. Prioritise beauty journalists listed on the masthead.,9 competitors cited — strong editorial competition
nymag.com,editorial_premium,HIGH,6.84,90,1691,7,2,3.5,11,"CeraVe, Estée Lauder, Glow Recipe, L'Oreal, La Roche-Posay, Sephora, SkinCeuticals, Sunday Riley, The Ordinary, Vichy, medik8",EDITORIAL,Beauty/lifestyle outreach: pitch a hero product with a trend angle and press samples. Prioritise beauty journalists listed on the masthead.,11 competitors cited — strong editorial competition
healthline.com,editorial_health,HIGH,5.38,92,262,5,5,1.0,4,"CeraVe, La Roche-Posay, Neutrogena, The Ordinary",EDITORIAL,"Pitch the dermatologist angle: scientific validation, MD expert partnership, clinical studies on flagship active ingredients.",
cosmopolitan.com,editorial_premium,MEDIUM,4.98,89,1961,5,2,2.5,1,Neutrogena,EDITORIAL,Beauty/lifestyle outreach: pitch a hero product with a trend angle and press samples. Prioritise beauty journalists listed on the masthead.,Only one competitor cited (Neutrogena) — open window
topsante.com,editorial_health,MEDIUM,3.33,77,21524,3,6,0.6,2,"L'Oreal, Vichy",EDITORIAL,"Pitch the dermatologist angle: scientific validation, MD expert partnership, clinical studies on flagship active ingredients.",
aufeminin.com,editorial_health,MEDIUM,2.93,,,2,15,0.22,4,"Drunk Elephant, Neutrogena, The Ordinary, Vichy",UGC,"Pitch the dermatologist angle: scientific validation, MD expert partnership, clinical studies on flagship active ingredients.",DR not measured (Ahrefs enrichment pending)
prevention.com,editorial_premium,MEDIUM,2.6,,,4,4,1.0,10,"CeraVe, Dr Dennis Gross, La Roche-Posay, Neutrogena, Olay, Sephora, SkinCeuticals, The Ordinary, Vichy, medik8",EDITORIAL,Beauty/lifestyle outreach: pitch a hero product with a trend angle and press samples. Prioritise beauty journalists listed on the masthead.,DR not measured (Ahrefs enrichment pending) · 10 competitors cited — strong editorial competition
vogue.com,editorial_premium,MEDIUM,2.5,,,2,10,0.25,8,"Chanel, Dr Dennis Gross, Elemis, La Roche-Posay, Paula's Choice, SkinCeuticals, The Ordinary, medik8",EDITORIAL,Beauty/lifestyle outreach: pitch a hero product with a trend angle and press samples. Prioritise beauty journalists listed on the masthead.,DR not measured (Ahrefs enrichment pending) · 8 competitors cited — strong editorial competition
glamourmagazine.co.uk,editorial_premium,MEDIUM,1.9,,,2,6,0.4,1,SkinCeuticals,EDITORIAL,Beauty/lifestyle outreach: pitch a hero product with a trend angle and press samples. Prioritise beauty journalists listed on the masthead.,DR not measured (Ahrefs enrichment pending) · Only one competitor cited (SkinCeuticals) — open window
